numXbins 6
numYbins 6
xbin  ybin  z
0  0  5.11275173497955636e-06
0  1  9.59911615953727637e-06
0  2  -3.19682478893986687e-07
0  3  -1.48873680785939967e-06
0  4  -3.50665904749439452e-06
0  5  2.82727790134081409e-06
1  0  9.59911615953726621e-06
1  1  2.97613124610262862e-05
1  2  -3.01894935548359727e-07
1  3  -4.38750575185694422e-06
1  4  -1.03597321988464741e-05
1  5  9.96665349152306208e-06
2  0  -3.19682478893986793e-07
2  1  -3.01894935548360839e-07
2  2  2.75688763651411272e-08
2  3  5.26201916721794020e-08
2  4  1.23305868873625815e-07
2  5  -5.84024997728516937e-08
3  0  -1.48873680785939988e-06
3  1  -4.38750575185694422e-06
3  2  5.26201916721794020e-08
3  3  6.49506262062041924e-07
3  4  1.53329597056924658e-06
3  5  -1.45517828714225258e-06
4  0  -3.50665904749439663e-06
4  1  -1.03597321988464707e-05
4  2  1.23305868873626371e-07
4  3  1.53329597056924700e-06
4  4  3.61970316638395505e-06
4  5  -3.43759000855925572e-06
5  0  2.82727790134081451e-06
5  1  9.96665349152306208e-06
5  2  -5.84024997728518459e-08
5  3  -1.45517828714225258e-06
5  4  -3.43759000855925699e-06
5  5  3.41208808894670829e-06
