numXbins 6
numYbins 6
xbin  ybin  z
0  0  2.48636254962053932e-07
0  1  -5.56821276246201881e-07
0  2  5.55779935445742082e-07
0  3  5.21464557566573958e-07
0  4  9.29479768716633113e-07
0  5  -2.40287382501538606e-07
1  0  -5.56821276246201881e-07
1  1  1.29905051671297394e-06
1  2  -1.27526744941688322e-06
1  3  -1.19950043923108426e-06
1  4  -2.13978996157532271e-06
1  5  5.57999737688051844e-07
2  0  5.55779935445742400e-07
2  1  -1.27526744941688386e-06
2  2  1.26032944904343206e-06
2  3  1.18426009194181806e-06
2  4  2.11190317526714470e-06
2  5  -5.48801857166234455e-07
3  0  5.21464557566574064e-07
3  1  -1.19950043923108469e-06
3  2  1.18426009194181763e-06
3  3  1.11294925711321996e-06
3  4  1.98483224234927435e-06
3  5  -5.16052054631559470e-07
4  0  9.29479768716633748e-07
4  1  -2.13978996157532398e-06
4  2  2.11190317526714512e-06
4  3  1.98483224234927435e-06
4  4  3.53980511747670697e-06
4  5  -9.20501068035991251e-07
5  0  -2.40287382501538500e-07
5  1  5.57999737688051950e-07
5  2  -5.48801857166233820e-07
5  3  -5.16052054631559047e-07
5  4  -9.20501068035990510e-07
5  5  2.39808834125591461e-07
