numXbins 6
numYbins 6
xbin  ybin  z
0  0  5.64169829645127044e-07
0  1  -4.62724026878193539e-07
0  2  -3.79458368966780583e-07
0  3  1.55864741610658834e-07
0  4  -3.30876841204023222e-08
0  5  -1.68266525535599806e-06
1  0  -4.62724026878193539e-07
1  1  1.56176175018421206e-06
1  2  1.32684361831550938e-06
1  3  1.27030850431584125e-07
1  4  1.01579393914261940e-06
1  5  1.33137370449089538e-06
2  0  -3.79458368966780583e-07
2  1  1.32684361831550938e-06
2  2  1.12986066077112756e-06
2  3  1.24804128218309505e-07
2  4  8.63116661560932455e-07
2  5  1.05804291714316975e-06
3  0  1.55864741610658781e-07
3  1  1.27030850431584125e-07
3  2  1.24804128218309505e-07
3  3  1.50885848667802863e-07
3  4  1.62777673476714889e-07
3  5  -6.32879728290428175e-07
4  0  -3.30876841204023222e-08
4  1  1.01579393914261940e-06
4  2  8.63116661560932561e-07
4  3  1.62777673476714889e-07
4  4  8.79988740118400134e-07
4  5  1.86823142336055786e-07
5  0  -1.68266525535599806e-06
5  1  1.33137370449089538e-06
5  2  1.05804291714316997e-06
5  3  -6.32879728290428175e-07
5  4  1.86823142336055654e-07
5  5  6.32568559483472164e-06
