numXbins 6
numYbins 6
xbin  ybin  z
0  0  3.52357886443383840e-04
0  1  1.15471807223426861e-04
0  2  1.02019372331071668e-04
0  3  1.42841881767062141e-04
0  4  3.58437314112377788e-04
0  5  -6.31160754497614852e-04
1  0  1.15471807223426861e-04
1  1  3.78414639673084127e-05
1  2  3.34329434592103546e-05
1  3  4.68109580328294737e-05
1  4  1.17464106890417997e-04
1  5  -2.06838773231351141e-04
2  0  1.02019372331071641e-04
2  1  3.34329434592103478e-05
2  2  2.95380144201715057e-05
2  3  4.13574938468315898e-05
2  4  1.03779569615665640e-04
2  5  -1.82742111050204710e-04
3  0  1.42841881767062168e-04
3  1  4.68109580328294737e-05
3  2  4.13574938468315830e-05
3  3  5.79064751259194811e-05
3  4  1.45306412636716430e-04
3  5  -2.55865395209322656e-04
4  0  3.58437314112377843e-04
4  1  1.17464106890417984e-04
4  2  1.03779569615665654e-04
4  3  1.45306412636716430e-04
4  4  3.64621633546831185e-04
4  5  -6.42050523968100374e-04
5  0  -6.31160754497614744e-04
5  1  -2.06838773231351141e-04
5  2  -1.82742111050204710e-04
5  3  -2.55865395209322656e-04
5  4  -6.42050523968100482e-04
5  5  1.13056614693369932e-03
