numXbins 6
numYbins 6
xbin  ybin  z
0  0  5.88318715971361717e-06
0  1  2.16622649911446485e-06
0  2  2.09231565278074403e-06
0  3  3.33659801410856903e-06
0  4  5.10613073804925288e-06
0  5  2.90474381097889417e-06
1  0  2.16622649911446485e-06
1  1  7.97618215785971402e-07
1  2  7.70403777497069962e-07
1  3  1.22855636559529728e-06
1  4  1.88010943939502720e-06
1  5  1.06954493298620790e-06
2  0  2.09231565278074361e-06
2  1  7.70403777497069856e-07
2  2  7.44117885769320612e-07
2  3  1.18663847714413634e-06
2  4  1.81596080123437832e-06
2  5  1.03305245575851749e-06
3  0  3.33659801410856776e-06
3  1  1.22855636559529749e-06
3  2  1.18663847714413592e-06
3  3  1.89232230855888155e-06
3  4  2.89589727775772249e-06
3  5  1.64739998373230693e-06
4  0  5.10613073804925118e-06
4  1  1.88010943939502784e-06
4  2  1.81596080123437768e-06
4  3  2.89589727775772333e-06
4  4  4.43170859710003884e-06
4  5  2.52108274932386420e-06
5  0  2.90474381097888951e-06
5  1  1.06954493298620727e-06
5  2  1.03305245575851622e-06
5  3  1.64739998373230417e-06
5  4  2.52108274932385996e-06
5  5  1.43417783224677587e-06
