numXbins 6
numYbins 6
xbin  ybin  z
0  0  1.09291296000304784e-07
0  1  3.51809150745310364e-08
0  2  1.70684847734353726e-08
0  3  -2.49464127646135175e-08
0  4  1.70933800347322104e-07
0  5  -2.93707198885564901e-07
1  0  3.51809150745310364e-08
1  1  1.13247516570570599e-08
1  2  5.49435257189631551e-09
1  3  -8.03026097232498541e-09
1  4  5.50236636718921817e-08
1  5  -9.45444733379558472e-08
2  0  1.70684847734353660e-08
2  1  5.49435257189631303e-09
2  2  2.66565758777517479e-09
2  3  -3.89598698164812686e-09
2  4  2.66954558621536811e-08
2  5  -4.58694977138219301e-08
3  0  -2.49464127646135175e-08
3  1  -8.03026097232498541e-09
3  2  -3.89598698164812852e-09
3  3  5.69417266147833621e-09
3  4  -3.90166947867142418e-08
3  5  6.70404806556352294e-08
4  0  1.70933800347322104e-07
4  1  5.50236636718921618e-08
4  2  2.66954558621536811e-08
4  3  -3.90166947867142418e-08
4  4  2.67343925550088614e-07
4  5  -4.59364007310667897e-07
5  0  -2.93707198885564901e-07
5  1  -9.45444733379558472e-08
5  2  -4.58694977138219500e-08
5  3  6.70404806556352162e-08
5  4  -4.59364007310667897e-07
5  5  7.89302733467120639e-07
