numXbins 6
numYbins 6
xbin  ybin  z
0  0  6.97897744587261317e-05
0  1  1.92817307385326218e-05
0  2  2.01279991171829747e-05
0  3  4.22292773381554776e-05
0  4  5.13457967460550068e-05
0  5  1.00077748341469288e-04
1  0  1.92817307385326184e-05
1  1  5.32725428321625268e-06
1  2  5.56080653272945689e-06
1  3  1.16660070770065831e-05
1  4  1.41873069402623641e-05
1  5  2.76435519052948312e-05
2  0  2.01279991171829713e-05
2  1  5.56080653272945689e-06
2  2  5.80631077366297926e-06
2  3  1.21861288404532326e-05
2  4  1.48011607025714226e-05
2  5  2.88980222269042772e-05
3  0  4.22292773381554979e-05
3  1  1.16660070770065898e-05
3  2  1.21861288404532394e-05
3  3  2.55909744543399636e-05
3  4  3.10272178286171566e-05
3  5  6.07512789626346372e-05
4  0  5.13457967460550000e-05
4  1  1.41873069402623539e-05
4  2  1.48011607025714159e-05
4  3  3.10272178286171498e-05
4  4  3.78216160217954665e-05
4  5  7.34170640434039676e-05
5  0  1.00077748341469315e-04
5  1  2.76435519052948109e-05
5  2  2.88980222269042569e-05
5  3  6.07512789626346304e-05
5  4  7.34170640434039405e-05
5  5  1.44501591453063613e-04
