numXbins 6
numYbins 6
xbin  ybin  z
0  0  4.82073265547309671e+00
0  1  -7.55597554895664159e-01
0  2  -3.33666752559113444e+00
0  3  3.59701296972454898e+00
0  4  -5.79357360108090891e+00
0  5  -1.88708786861779956e+01
1  0  1.36145259803235774e+00
1  1  1.95772581064962847e+00
1  2  -2.59564483499748233e+00
1  3  1.72851637877470043e-01
1  4  -1.91087404392421645e+00
1  5  -4.90216371229683290e+00
2  0  1.26771726995467016e+00
2  1  1.65760358516868589e+00
2  2  -1.72644818247517451e+00
2  3  9.51796208767237140e-02
2  4  -2.29996915201456087e+00
2  5  -3.95117520008360756e+00
3  0  2.18191745378867852e+00
3  1  7.65060068853247177e-02
3  2  9.25321138070074767e-01
3  3  9.99107401172800280e-01
3  4  -5.37981891089462749e+00
3  5  -5.87653118303474820e+00
4  0  3.83628224512071592e+00
4  1  1.07282780086278340e+00
4  2  -7.25834048322994541e+00
4  3  8.29810416502756354e+00
4  4  -3.45553662152104835e+00
4  5  -3.71923203327374594e+01
5  0  -7.57705014736364557e+00
5  1  2.60496684646051779e+00
5  2  9.47858977793248414e+00
5  3  1.20229123803586369e+01
5  4  2.93307947106596245e+01
5  5  4.36475398532069789e+01
