numXbins 5
numYbins 5
xbin  ybin  z
0  0  1.73701358449968019e-07
0  1  -3.39913768326830509e-07
0  2  -3.01998199895598120e-07
0  3  -2.40944476845072565e-07
0  4  -3.01124122704596796e-07
1  0  -3.39913768326830509e-07
1  1  1.69293062492070707e-06
1  2  8.45124909066086152e-07
1  3  6.24336051108310433e-07
1  4  6.89853275850996712e-07
2  0  -3.01998199895598067e-07
2  1  8.45124909066085940e-07
2  2  7.76097075456916411e-07
2  3  6.00208599941872420e-07
2  4  6.82389107157936176e-07
3  0  -2.40944476845072565e-07
3  1  6.24336051108310433e-07
3  2  6.00208599941872420e-07
3  3  5.34927371262665584e-07
3  4  5.85588365069565959e-07
4  0  -3.01124122704596796e-07
4  1  6.89853275850996712e-07
4  2  6.82389107157936282e-07
4  3  5.85588365069566064e-07
4  4  6.64849063894321278e-07
