numXbins 5
numYbins 5
xbin  ybin  z
0  0  3.78054471084227541e-06
0  1  6.73786152651826758e-07
0  2  5.20377308087904467e-06
0  3  4.21573795302324096e-06
0  4  3.39731747929513047e-06
1  0  6.73786152651826440e-07
1  1  2.77755557172777411e-05
1  2  -4.25814150435121685e-06
1  3  -5.55549584358602722e-06
1  4  -9.73510536753611496e-06
2  0  5.20377308087904467e-06
2  1  -4.25814150435121516e-06
2  2  2.26984753096397256e-05
2  3  1.05589706623764051e-05
2  4  9.27518940178824095e-06
3  0  4.21573795302324096e-06
3  1  -5.55549584358602722e-06
3  2  1.05589706623764051e-05
3  3  1.62765158035526151e-05
3  4  1.60668194288622124e-05
4  0  3.39731747929513047e-06
4  1  -9.73510536753611496e-06
4  2  9.27518940178824095e-06
4  3  1.60668194288622124e-05
4  4  2.74988982155719042e-05
