numXbins 5
numYbins 5
xbin  ybin  z
0  0  5.00001046530412877e-05
0  1  5.85854437791407501e-06
0  2  5.74732568102993005e-05
0  3  6.42049717464525350e-05
0  4  8.16729923240025235e-05
1  0  5.85854437791407756e-06
1  1  6.86449407779409095e-07
1  2  6.73417841628278141e-06
1  3  7.52293777921987063e-06
1  4  9.56967697022810442e-06
2  0  5.74732568102993005e-05
2  1  6.73417841628278056e-06
2  2  6.60633666930074686e-05
2  3  7.38012221231906297e-05
2  4  9.38800607493825776e-05
3  0  6.42049717464525214e-05
3  1  7.52293777921987063e-06
3  2  7.38012221231906432e-05
3  3  8.24453953760280472e-05
3  4  1.04876023780319419e-04
4  0  8.16729923240025235e-05
4  1  9.56967697022810781e-06
4  2  9.38800607493825640e-05
4  3  1.04876023780319433e-04
4  4  1.33409274269405767e-04
