numXbins 5
numYbins 5
xbin  ybin  z
0  0  1.09683305848855929e-05
0  1  -2.20075528918306847e-06
0  2  3.06359430639581909e-05
0  3  -1.86328944234692865e-05
0  4  -4.81515494461653507e-05
1  0  -2.20075528918306932e-06
1  1  4.41573474229648372e-07
1  2  -6.14698957287314236e-06
1  3  3.73862190220148301e-06
1  4  9.66143172891189730e-06
2  0  3.06359430639581841e-05
2  1  -6.14698957287314152e-06
2  2  8.55700874581067923e-05
2  3  -5.20440451950604068e-05
2  4  -1.34493404976950400e-04
3  0  -1.86328944234692865e-05
3  1  3.73862190220148385e-06
3  2  -5.20440451950604001e-05
3  3  3.16533816982663405e-05
3  4  8.17993887231306503e-05
4  0  -4.81515494461653439e-05
4  1  9.66143172891188714e-06
4  2  -1.34493404976950373e-04
4  3  8.17993887231306639e-05
4  4  2.11387840302835859e-04
