numXbins 5
numYbins 5
xbin  ybin  z
0  0  8.09915180449432659e-04
0  1  5.71240610928986205e-04
0  2  7.66186698314311838e-04
0  3  1.03132224322744805e-03
0  4  1.49749575957279198e-03
1  0  5.71240610928986205e-04
1  1  4.02901246268089956e-04
1  2  5.40398511098233491e-04
1  3  7.27401044587141078e-04
1  4  1.05619750464145908e-03
2  0  7.66186698314311838e-04
2  1  5.40398511098233491e-04
2  2  7.24819179643020539e-04
2  3  9.75639676241238287e-04
2  4  1.41664381587473646e-03
3  0  1.03132224322744805e-03
3  1  7.27401044587141078e-04
3  2  9.75639676241238287e-04
3  3  1.31325550508323125e-03
3  4  1.90686719210423359e-03
4  0  1.49749575957279198e-03
4  1  1.05619750464145908e-03
4  2  1.41664381587473646e-03
4  3  1.90686719210423359e-03
4  4  2.76880049179236733e-03
