numXbins 4
numYbins 4
xbin  ybin  z
0  0  1.29881908607883714e-04
0  1  1.30220184548076538e-04
0  2  1.89551715555636433e-04
0  3  8.53223632291265528e-05
1  0  1.30220184548076538e-04
1  1  1.30559341524072865e-04
1  2  1.90045400823138285e-04
1  3  8.55445843448320904e-05
2  0  1.89551715555636406e-04
2  1  1.90045400823138312e-04
2  2  2.76634777354234091e-04
2  3  1.24520808930893685e-04
3  0  8.53223632291265664e-05
3  1  8.55445843448320498e-05
3  2  1.24520808930893685e-04
3  3  5.60501900921490126e-05
