numXbins 4
numYbins 4
xbin  ybin  z
0  0  7.44817152062518076e-06
0  1  1.86203650438681241e-07
0  2  -3.19001026017377303e-05
0  3  1.09371650383339348e-05
1  0  1.86203650438681849e-07
1  1  4.65507532159802180e-09
1  2  -7.97499834336982973e-07
1  3  2.73428189717247359e-07
2  0  -3.19001026017377167e-05
2  1  -7.97499834336984244e-07
2  2  1.36626357648108709e-04
2  3  -4.68432669587213966e-05
3  0  1.09371650383339348e-05
3  1  2.73428189717245929e-07
3  2  -4.68432669587214034e-05
3  3  1.60605295869600892e-05
