numXbins 4
numYbins 4
xbin  ybin  z
0  0  8.91835105753866712e-04
0  1  2.51937257413944527e-04
0  2  4.47509315509051408e-04
0  3  6.17308951596597859e-04
1  0  2.51937257413944635e-04
1  1  9.26414887691678814e-04
1  2  1.16411012016115218e-03
1  3  1.06139735325741112e-03
2  0  4.47509315509051354e-04
2  1  1.16411012016115261e-03
2  2  2.83390550937348031e-03
2  3  2.63579383222648563e-03
3  0  6.17308951596598075e-04
3  1  1.06139735325741112e-03
3  2  2.63579383222648563e-03
3  3  4.26147018548800674e-03
