numXbins 4
numYbins 4
xbin  ybin  z
0  0  6.53409054601511875e-04
0  1  -1.17070784834611894e-04
0  2  -2.74141803388512607e-04
0  3  -2.62196466378387320e-04
1  0  -1.17070784834611894e-04
1  1  5.32091459264633754e-04
1  2  -5.99579889229354525e-05
1  3  -3.55062685507086598e-04
2  0  -2.74141803388512607e-04
2  1  -5.99579889229351882e-05
2  2  5.33809951313032470e-04
2  3  -1.99710159001584330e-04
3  0  -2.62196466378387320e-04
3  1  -3.55062685507086598e-04
3  2  -1.99710159001584330e-04
3  3  8.16969310887058139e-04
