numXbins 4
numYbins 4
xbin  ybin  z
0  0  1.98239956978355962e-07
0  1  -2.65017039163120683e-09
0  2  -1.89201402050196182e-08
0  3  -2.09143616511730051e-07
1  0  -2.65017039163119070e-09
1  1  2.18198882907021875e-08
1  2  -1.46842551464916320e-07
1  3  -2.64396238184212378e-07
2  0  -1.89201402050196116e-08
2  1  -1.46842551464916346e-07
2  2  9.95040482077938357e-07
2  3  1.82412593712126801e-06
3  0  -2.09143616511730184e-07
3  1  -2.64396238184212378e-07
3  2  1.82412593712126801e-06
3  3  3.49782989226935034e-06
