numXbins 4
numYbins 4
xbin  ybin  z
0  0  7.94988527326158053e-05
0  1  -9.99322458626186905e-06
0  2  1.33674787579396520e-05
0  3  1.53080723989222080e-04
1  0  -9.99322458626186905e-06
1  1  5.65609872478626711e-05
1  2  8.74052242700483814e-05
1  3  7.71306543192974187e-06
2  0  1.33674787579396317e-05
2  1  8.74052242700484086e-05
2  2  2.09241432028368929e-04
2  3  1.73155509707174476e-04
3  0  1.53080723989222107e-04
3  1  7.71306543192972662e-06
3  2  1.73155509707174503e-04
3  3  7.03662542752791034e-04
