numXbins 7
numYbins 7
xbin  ybin  z
0  0  1.17630760318620966e-04
0  1  1.02001429065906517e-04
0  2  8.77935845905479441e-05
0  3  7.48516106291790894e-05
0  4  8.53146125955418154e-05
0  5  5.98011475448616218e-05
0  6  -1.30406706358597899e-04
1  0  1.02001429065906531e-04
1  1  9.21127673863289759e-05
1  2  8.14459287136547167e-05
1  3  6.97044475765870347e-05
1  4  7.90030747234653598e-05
1  5  6.81683354642289479e-05
1  6  -1.23697510700723550e-04
2  0  8.77935845905479441e-05
2  1  8.14459287136546896e-05
2  2  7.39468004171097213e-05
2  3  6.43856030366464981e-05
2  4  7.39336900448095804e-05
2  5  7.43190258883419440e-05
2  6  -1.14488232602248489e-04
3  0  7.48516106291790894e-05
3  1  6.97044475765870483e-05
3  2  6.43856030366464981e-05
3  3  5.87619948798529407e-05
3  4  7.31471336192208679e-05
3  5  8.00208746050586875e-05
3  6  -1.06395043760909081e-04
4  0  8.53146125955418154e-05
4  1  7.90030747234653463e-05
4  2  7.39336900448095804e-05
4  3  7.31471336192208679e-05
4  4  1.05103302226237350e-04
4  5  1.21610386554813965e-04
4  6  -1.32632473155737938e-04
5  0  5.98011475448616218e-05
5  1  6.81683354642289343e-05
5  2  7.43190258883419440e-05
5  3  8.00208746050586875e-05
5  4  1.21610386554813965e-04
5  5  1.94840705024608381e-04
5  6  -1.42581146336927543e-04
6  0  -1.30406706358597899e-04
6  1  -1.23697510700723550e-04
6  2  -1.14488232602248517e-04
6  3  -1.06395043760909081e-04
6  4  -1.32632473155737965e-04
6  5  -1.42581146336927597e-04
6  6  4.64226484839039830e-04
