numXbins 7
numYbins 7
xbin  ybin  z
0  0  9.72918698971188300e-06
0  1  8.70056502560762570e-06
0  2  7.64882865728368957e-06
0  3  6.59265152675284725e-06
0  4  7.90617496499468183e-06
0  5  8.12350123746584817e-06
0  6  3.35026394467194065e-06
1  0  8.70056502560762739e-06
1  1  7.78069450662993171e-06
1  2  6.84015336253688186e-06
1  3  5.89564095749620054e-06
1  4  7.07029163480024775e-06
1  5  7.26464100514412039e-06
1  6  2.99605602548195501e-06
2  0  7.64882865728369126e-06
2  1  6.84015336253688016e-06
2  2  6.01330613650964015e-06
2  3  5.18296770106641227e-06
2  4  6.21562497521090602e-06
2  5  6.38648112409733202e-06
2  6  2.63388861747325763e-06
3  0  6.59265152675284810e-06
3  1  5.89564095749620054e-06
3  2  5.18296770106641311e-06
3  3  4.46728531368105257e-06
3  4  5.35734964379494139e-06
3  5  5.50461337544339265e-06
3  6  2.27019202459799442e-06
4  0  7.90617496499468183e-06
4  1  7.07029163480024859e-06
4  2  6.21562497521090687e-06
4  3  5.35734964379494224e-06
4  4  6.42475087005802828e-06
4  5  6.60135550685492155e-06
4  6  2.72250630535717821e-06
5  0  8.12350123746584648e-06
5  1  7.26464100514411785e-06
5  2  6.38648112409733287e-06
5  3  5.50461337544339265e-06
5  4  6.60135550685492071e-06
5  5  6.78281468172947143e-06
5  6  2.79734301840011028e-06
6  0  3.35026394467193980e-06
6  1  2.99605602548195331e-06
6  2  2.63388861747325763e-06
6  3  2.27019202459799400e-06
6  4  2.72250630535717906e-06
6  5  2.79734301840011155e-06
6  6  1.15366972706330602e-06
