numXbins 7
numYbins 7
xbin  ybin  z
0  0  -7.52060272150940272e-05
0  1  -5.07572079111181539e-05
0  2  -2.40546922026787416e-05
0  3  1.52305833154870025e-05
0  4  9.40306552881886262e-05
0  5  2.23522214958852861e-04
0  6  -3.77020819362862978e-04
1  0  -5.07572079111186824e-05
1  1  -3.05829561829443458e-05
1  2  -8.46787365362235226e-06
1  3  2.47230503190137503e-05
1  4  9.70567609520376967e-05
1  5  2.12828915531129183e-04
1  6  -3.32972584537199090e-04
2  0  -2.40546922026787416e-05
2  1  -8.46787365362235226e-06
2  2  8.72734516591444544e-06
2  3  3.54096629933703405e-05
2  4  1.01104070395423052e-04
2  5  2.02519141932210793e-04
2  6  -2.86598789875789500e-04
3  0  1.52305833154867382e-05
3  1  2.47230503190137503e-05
3  2  3.54096629933708690e-05
3  3  5.37064920924832005e-05
3  4  1.13046482502423081e-04
3  5  1.98397088534923565e-04
3  6  -2.32367815900452160e-04
4  0  9.40306552881880976e-05
4  1  9.70567609520374392e-05
4  2  1.01104070395423052e-04
4  3  1.13046482502422824e-04
4  4  1.89657859938849625e-04
4  5  2.87264496413521149e-04
4  6  -2.46659265809837179e-04
5  0  2.23522214958852319e-04
5  1  2.12828915531128641e-04
5  2  2.02519141932210251e-04
5  3  1.98397088534923050e-04
5  4  2.87264496413521149e-04
5  5  3.81116479566507790e-04
5  6  -2.04028544930119561e-04
6  0  -3.77020819362862978e-04
6  1  -3.32972584537199036e-04
6  2  -2.86598789875789446e-04
6  3  -2.32367815900452133e-04
6  4  -2.46659265809837070e-04
6  5  -2.04028544930119453e-04
6  6  -2.11830251271521395e-04
