numXbins 7
numYbins 7
xbin  ybin  z
0  0  4.20172425055083590e-08
0  1  4.17679911045389743e-08
0  2  3.79218002966059799e-08
0  3  3.60766604733773892e-08
0  4  5.29268329616431696e-08
0  5  6.24836813293555794e-08
0  6  -6.36838422311754338e-08
1  0  4.17679911045389809e-08
1  1  4.18679990261136464e-08
1  2  3.82330179811669385e-08
1  3  3.58464742933651242e-08
1  4  5.05205297976487211e-08
1  5  6.06025994088121716e-08
1  6  -6.86144689724665212e-08
2  0  3.79218002966059865e-08
2  1  3.82330179811669385e-08
2  2  3.50521643895966500e-08
2  3  3.25353127541807522e-08
2  4  4.45422696737363383e-08
2  5  5.40647448205915689e-08
2  6  -6.56605298114611437e-08
3  0  3.60766604733773892e-08
3  1  3.58464742933651242e-08
3  2  3.25353127541807655e-08
3  3  3.09767362736367484e-08
3  4  4.55411181871362548e-08
3  5  5.37197130260165096e-08
3  6  -5.44330510520975438e-08
4  0  5.29268329616431894e-08
4  1  5.05205297976487079e-08
4  2  4.45422696737363515e-08
4  3  4.55411181871362350e-08
4  4  7.92570524787521502e-08
4  5  8.77943580273152642e-08
4  6  -4.82823818302034556e-08
5  0  6.24836813293555661e-08
5  1  6.06025994088121716e-08
5  2  5.40647448205915689e-08
5  3  5.37197130260165096e-08
5  4  8.77943580273152378e-08
5  5  9.94790442293058621e-08
5  6  -7.16494441500816298e-08
6  0  -6.36838422311754470e-08
6  1  -6.86144689724665212e-08
6  2  -6.56605298114611569e-08
6  3  -5.44330510520975371e-08
6  4  -4.82823818302034556e-08
6  5  -7.16494441500816298e-08
6  6  1.77548758091203683e-07
