numXbins 7
numYbins 7
xbin  ybin  z
0  0  2.93109108079743962e-05
0  1  2.67715635766077771e-05
0  2  2.38642841452600966e-05
0  3  2.17160044825153112e-05
0  4  2.97799305024257086e-05
0  5  3.50904966839234053e-05
0  6  1.33985244926808062e-05
1  0  2.67715635766077805e-05
1  1  2.44524371347064053e-05
1  2  2.17970591570112647e-05
1  3  1.98349618693528404e-05
1  4  2.72005232805637881e-05
1  5  3.20511317632283209e-05
1  6  1.22317637703647112e-05
2  0  2.38642841452600932e-05
2  1  2.17970591570112681e-05
2  2  1.94300512132288163e-05
2  3  1.76810454317575744e-05
2  4  2.42467985586070894e-05
2  5  2.85706807994620313e-05
2  6  1.09020069708926402e-05
3  0  2.17160044825153078e-05
3  1  1.98349618693528404e-05
3  2  1.76810454317575710e-05
3  3  1.60895127829218216e-05
3  4  2.20643126065957750e-05
3  5  2.59990046363319674e-05
3  6  9.91822341058930980e-06
4  0  2.97799305024257120e-05
4  1  2.72005232805638017e-05
4  2  2.42467985586070860e-05
4  3  2.20643126065957750e-05
4  4  3.02579185323386043e-05
4  5  3.56537746851315674e-05
4  6  1.35976597478428817e-05
5  0  3.50904966839234121e-05
5  1  3.20511317632283209e-05
5  2  2.85706807994620245e-05
5  3  2.59990046363319640e-05
5  4  3.56537746851315606e-05
5  5  4.20118688403047367e-05
5  6  1.60219496816744678e-05
6  0  1.33985244926808129e-05
6  1  1.22317637703647129e-05
6  2  1.09020069708926470e-05
6  3  9.91822341058931319e-06
6  4  1.35976597478428952e-05
6  5  1.60219496816744576e-05
6  6  6.28387298200972195e-06
