numXbins 7
numYbins 7
xbin  ybin  z
0  0  1.92652416958718950e-07
0  1  1.69017320022318901e-07
0  2  1.51874517911074405e-07
0  3  1.33536378021651016e-07
0  4  1.61446600255067119e-07
0  5  1.70870362405394505e-07
0  6  1.53282081904273116e-07
1  0  1.69017320022318901e-07
1  1  1.49067852245366930e-07
1  2  1.34026952513216837e-07
1  3  1.18226286565809983e-07
1  4  1.44205452099690231e-07
1  5  1.53679139660380910e-07
1  6  1.19044929567064284e-07
2  0  1.51874517911074405e-07
2  1  1.34026952513216837e-07
2  2  1.20511473713912781e-07
2  3  1.06342144722539016e-07
2  4  1.29835454021605326e-07
2  5  1.38468712965707830e-07
2  6  1.05429391523797921e-07
3  0  1.33536378021651016e-07
3  1  1.18226286565809943e-07
3  2  1.06342144722539016e-07
3  3  9.40236886602257883e-08
3  4  1.15406783672857194e-07
3  5  1.23584467386960520e-07
3  6  8.51902339575370594e-08
4  0  1.61446600255067225e-07
4  1  1.44205452099690204e-07
4  2  1.29835454021605379e-07
4  3  1.15406783672857194e-07
4  4  1.43669375623094772e-07
4  5  1.55503228821503420e-07
4  6  7.80833018997669869e-08
5  0  1.70870362405394479e-07
5  1  1.53679139660380883e-07
5  2  1.38468712965707830e-07
5  3  1.23584467386960494e-07
5  4  1.55503228821503367e-07
5  5  1.69648622098963403e-07
5  6  6.19022675464624421e-08
6  0  1.53282081904273143e-07
6  1  1.19044929567064284e-07
6  2  1.05429391523797895e-07
6  3  8.51902339575370594e-08
6  4  7.80833018997670002e-08
6  5  6.19022675464624024e-08
6  6  4.24941770348435321e-07
