numXbins 7
numYbins 7
xbin  ybin  z
0  0  1.07330459613184240e-04
0  1  9.44025288277671078e-05
0  2  8.10354519863297376e-05
0  3  6.75960170072653551e-05
0  4  7.67457345479965770e-05
0  5  6.91155884614963874e-05
0  6  2.40931346166339728e-05
1  0  9.44025288277671078e-05
1  1  8.33823543797114302e-05
1  2  7.17969438842646138e-05
1  3  5.99765137959340107e-05
1  4  6.81966353260229333e-05
1  5  6.26788906968773904e-05
1  6  2.10770241226908223e-05
2  0  8.10354519863297105e-05
2  1  7.17969438842645867e-05
2  2  6.19978376015819751e-05
2  3  5.18955119810960856e-05
2  4  5.91472563298508402e-05
2  5  5.53436974040503234e-05
2  6  1.83300978599687745e-05
3  0  6.75960170072653686e-05
3  1  5.99765137959340310e-05
3  2  5.18955119810960856e-05
3  3  4.35783964250101299e-05
3  4  4.99426413685167379e-05
3  5  4.73302367457983084e-05
3  6  1.55311993623619029e-05
4  0  7.67457345479965770e-05
4  1  6.81966353260229333e-05
4  2  5.91472563298508537e-05
4  3  4.99426413685167379e-05
4  4  5.79014725039145620e-05
4  5  5.57475874351983649e-05
4  6  1.87638440692191074e-05
5  0  6.91155884614963874e-05
5  1  6.26788906968774040e-05
5  2  5.53436974040503234e-05
5  3  4.73302367457983220e-05
5  4  5.57475874351983581e-05
5  5  5.92070781057906924e-05
5  6  1.94561824029222593e-05
6  0  2.40931346166339525e-05
6  1  2.10770241226908392e-05
6  2  1.83300978599687677e-05
6  3  1.55311993623619097e-05
6  4  1.87638440692191074e-05
6  5  1.94561824029222728e-05
6  6  4.21602711566670081e-05
