numXbins 7
numYbins 7
xbin  ybin  z
0  0  1.53892495719254690e-04
0  1  1.37635376186837207e-04
0  2  1.19677038474230447e-04
0  3  1.01800107622851651e-04
0  4  1.20849332258542559e-04
0  5  1.20166204964173591e-04
0  6  3.89428034571520003e-05
1  0  1.37635376186837180e-04
1  1  1.23548083131819100e-04
1  2  1.07702460919942208e-04
1  3  9.17355386198374267e-05
1  4  1.09067222832097803e-04
1  5  1.09964765702380441e-04
1  6  3.44754330691925516e-05
2  0  1.19677038474230420e-04
2  1  1.07702460919942194e-04
2  2  9.40990309111863792e-05
2  3  8.02849686471517391e-05
2  4  9.56580237897583692e-05
2  5  9.75962967801844990e-05
2  6  3.02934291589411955e-05
3  0  1.01800107622851651e-04
3  1  9.17355386198374267e-05
3  2  8.02849686471517526e-05
3  3  6.87198535050199326e-05
3  4  8.23800961605838705e-05
3  5  8.48995728500488516e-05
3  6  2.62260897534179200e-05
4  0  1.20849332258542559e-04
4  1  1.09067222832097817e-04
4  2  9.56580237897583692e-05
4  3  8.23800961605838299e-05
4  4  1.00086803216425734e-04
4  5  1.04645541757155845e-04
4  6  3.28802539990839695e-05
5  0  1.20166204964173605e-04
5  1  1.09964765702380454e-04
5  2  9.75962967801844990e-05
5  3  8.48995728500488651e-05
5  4  1.04645541757155872e-04
5  5  1.15927963707151857e-04
5  6  3.63047382194295521e-05
6  0  3.89428034571520613e-05
6  1  3.44754330691926058e-05
6  2  3.02934291589412362e-05
6  3  2.62260897534179302e-05
6  4  3.28802539990840102e-05
6  5  3.63047382194295928e-05
6  6  5.66125765099869248e-05
