numXbins 7
numYbins 7
xbin  ybin  z
0  0  4.92714790804913455e-05
0  1  4.57441120004342035e-05
0  2  4.08093444535016122e-05
0  3  3.59959936815830043e-05
0  4  4.62103129773851310e-05
0  5  5.36330244131176859e-05
0  6  1.16275015980016891e-05
1  0  4.57441120004342170e-05
1  1  4.24976377516404413e-05
1  2  3.79220023581306929e-05
1  3  3.34272330645734290e-05
1  4  4.28406870054519537e-05
1  5  4.97529844862569214e-05
1  6  1.05690190321533794e-05
2  0  4.08093444535016190e-05
2  1  3.79220023581306861e-05
2  2  3.38447767952813273e-05
2  3  2.98311140662605970e-05
2  4  3.82187180599649485e-05
2  5  4.44144582644744756e-05
2  6  9.44992287456064317e-06
3  0  3.59959936815830111e-05
3  1  3.34272330645734087e-05
3  2  2.98311140662606038e-05
3  3  2.63362950867881039e-05
3  4  3.38658876515843924e-05
3  5  3.93795797721526198e-05
3  6  8.59566668102705113e-06
4  0  4.62103129773851310e-05
4  1  4.28406870054519402e-05
4  2  3.82187180599649620e-05
4  3  3.38658876515843789e-05
4  4  4.39194154827576253e-05
4  5  5.11031139315036510e-05
4  6  1.17389341398132455e-05
5  0  5.36330244131176656e-05
5  1  4.97529844862569011e-05
5  2  4.44144582644744688e-05
5  3  3.93795797721526063e-05
5  4  5.11031139315036578e-05
5  5  5.96519094105782099e-05
5  6  1.39962419483077593e-05
6  0  1.16275015980016807e-05
6  1  1.05690190321533997e-05
6  2  9.44992287456064487e-06
6  3  8.59566668102705791e-06
6  4  1.17389341398132522e-05
6  5  1.39962419483077695e-05
6  6  8.21263132327669534e-06
