numXbins 7
numYbins 7
xbin  ybin  z
0  0  3.35210119663413625e-08
0  1  2.04353063257905228e-08
0  2  1.87985001967908317e-08
0  3  1.46098602034785640e-08
0  4  7.90125801998831518e-09
0  5  1.96940783854373325e-08
0  6  2.84872363210483219e-07
1  0  2.04353063257904599e-08
1  1  1.24876853434220866e-08
1  2  1.14859439197129247e-08
1  3  8.93580196818464956e-09
1  4  4.88434740674539981e-09
1  5  1.20490579268437342e-08
1  6  1.72841801246533042e-07
2  0  1.87985001967908085e-08
2  1  1.14859439197129363e-08
2  2  1.05646375003210413e-08
2  3  8.21858289898392283e-09
2  4  4.48968855812314852e-09
2  5  1.10817750230694591e-08
2  6  1.59039641453824737e-07
3  0  1.46098602034785343e-08
3  1  8.93580196818465287e-09
3  2  8.21858289898391952e-09
3  3  6.39630286526367640e-09
3  4  3.51001358769670238e-09
3  5  8.62575059696519397e-09
3  6  1.23350101095442348e-07
4  0  7.90125801998828706e-09
4  1  4.88434740674541718e-09
4  2  4.48968855812314190e-09
4  3  3.51001358769670403e-09
4  4  2.01556180185452877e-09
4  5  4.73967090296011453e-09
4  6  6.52786160585007492e-08
5  0  1.96940783854373358e-08
5  1  1.20490579268437491e-08
5  2  1.10817750230694707e-08
5  3  8.62575059696520224e-09
5  4  4.73967090296010543e-09
5  5  1.16327125308943737e-08
5  6  1.66176061029272057e-07
6  0  2.84872363210483325e-07
6  1  1.72841801246533068e-07
6  2  1.59039641453824869e-07
6  3  1.23350101095442321e-07
6  4  6.52786160585007095e-08
6  5  1.66176061029272084e-07
6  6  2.44374132210287614e-06
