numXbins 7
numYbins 7
xbin  ybin  z
0  0  4.34742172857179202e-08
0  1  2.85129330029445583e-08
0  2  2.55836834735327939e-08
0  3  2.02232742593617100e-08
0  4  1.38653868856511027e-08
0  5  2.38870324352917248e-08
0  6  2.77817662193674531e-07
1  0  2.85129330029444987e-08
1  1  1.91925998798728180e-08
1  2  1.70808207677432466e-08
1  3  1.36404294974476909e-08
1  4  1.02964979703406946e-08
1  5  1.57658460662037917e-08
1  6  1.64966013337986809e-07
2  0  2.55836834735327542e-08
2  1  1.70808207677432533e-08
2  2  1.52402316279792789e-08
2  3  1.21318647195817993e-08
2  4  8.89644095168834163e-09
2  5  1.41178904365694556e-08
2  6  1.52925017759372220e-07
3  0  2.02232742593617000e-08
3  1  1.36404294974477008e-08
3  2  1.21318647195818009e-08
3  3  9.69595540452852627e-09
3  4  7.37079911280521905e-09
3  5  1.11877922254048795e-08
3  6  1.16032396842286066e-07
4  0  1.38653868856510630e-08
4  1  1.02964979703406847e-08
4  2  8.89644095168833336e-09
4  3  7.37079911280520499e-09
4  4  7.36157213504413706e-09
4  5  7.86113777489735735e-09
4  6  4.64651835263559894e-08
5  0  2.38870324352917976e-08
5  1  1.57658460662037850e-08
5  2  1.41178904365694556e-08
5  3  1.11877922254048976e-08
5  4  7.86113777489734577e-09
5  5  1.31448471034625289e-08
5  6  1.49167439231827762e-07
6  0  2.77817662193674426e-07
6  1  1.64966013337986889e-07
6  2  1.52925017759372141e-07
6  3  1.16032396842286066e-07
6  4  4.64651835263560225e-08
6  5  1.49167439231827788e-07
6  6  2.37949444004335453e-06
