numXbins 5
numYbins 5
xbin  ybin  z
0  0  8.51297058811619946e-06
0  1  5.68778492428250618e-07
0  2  -1.17370109300502113e-06
0  3  -1.33460673247839893e-07
0  4  8.97340650832740177e-06
1  0  5.68778492428250618e-07
1  1  1.98262847950545585e-06
1  2  5.66423306719343321e-06
1  3  7.71012806495908126e-06
1  4  7.89194146042509030e-07
2  0  -1.17370109300502113e-06
2  1  5.66423306719343321e-06
2  2  1.87775932078735392e-05
2  3  2.80423381800377082e-05
2  4  -2.29028212408748735e-06
3  0  -1.33460673247839893e-07
3  1  7.71012806495908126e-06
3  2  2.80423381800377082e-05
3  3  4.71419839808670096e-05
3  4  -4.46874033442815152e-06
4  0  8.97340650832740346e-06
4  1  7.89194146042509030e-07
4  2  -2.29028212408748735e-06
4  3  -4.46874033442815152e-06
4  4  1.11171043015780459e-05
