numXbins 5
numYbins 5
xbin  ybin  z
0  0  1.92375802311391694e-05
0  1  1.43960553297432114e-06
0  2  -2.94125211267079720e-06
0  3  -2.04656138537067901e-06
0  4  2.09808658720394252e-05
1  0  1.43960553297432051e-06
1  1  3.72017599575414629e-06
1  2  1.13326383988417545e-05
1  3  1.69840532984754781e-05
1  4  1.28068908967003630e-06
2  0  -2.94125211267079677e-06
2  1  1.13326383988417545e-05
2  2  3.94043652483630936e-05
2  3  6.14387583049973439e-05
2  4  -6.04716556881629404e-06
3  0  -2.04656138537067774e-06
3  1  1.69840532984754781e-05
3  2  6.14387583049973439e-05
3  3  1.01405908474168854e-04
3  4  -9.61489577473394322e-06
4  0  2.09808658720394252e-05
4  1  1.28068908967003630e-06
4  2  -6.04716556881629235e-06
4  3  -9.61489577473394322e-06
4  4  2.48265195877150189e-05
