numXbins 5
numYbins 5
xbin  ybin  z
0  0  2.28501398881642810e-05
0  1  5.99520633780769358e-06
0  2  7.97937381500839472e-06
0  3  1.07955836950621013e-05
0  4  2.59831319479136566e-05
1  0  5.99520633780769442e-06
1  1  1.57296625792241794e-06
1  2  2.09355359317751086e-06
1  3  2.83244444479281865e-06
1  4  6.81721153973819447e-06
2  0  7.97937381500839472e-06
2  1  2.09355359317751086e-06
2  2  2.78643399083176260e-06
2  3  3.76986741769266878e-06
2  4  9.07342903421264624e-06
3  0  1.07955836950620980e-05
3  1  2.83244444479281908e-06
3  2  3.76986741769266878e-06
3  3  5.10039010209550233e-06
3  4  1.22757706069377906e-05
4  0  2.59831319479136498e-05
4  1  6.81721153973819362e-06
4  2  9.07342903421264963e-06
4  3  1.22757706069377906e-05
4  4  2.95456898350274790e-05
