numXbins 5
numYbins 5
xbin  ybin  z
0  0  4.86334331955600441e-05
0  1  1.60388465956095556e-05
0  2  4.00767140888368971e-05
0  3  7.87206509698254941e-05
0  4  4.53550795783418565e-05
1  0  1.60388465956095488e-05
1  1  5.28946001165677730e-06
1  2  1.32169215103991803e-05
1  3  2.59613266399383208e-05
1  4  1.49576765589129828e-05
2  0  4.00767140888368904e-05
2  1  1.32169215103991735e-05
2  2  3.30254910382310620e-05
2  3  6.48702921942355843e-05
2  4  3.73751643119366701e-05
3  0  7.87206509698254941e-05
3  1  2.59613266399383174e-05
3  2  6.48702921942356114e-05
3  3  1.27421415308981987e-04
3  4  7.34141341582536240e-05
4  0  4.53550795783418565e-05
4  1  1.49576765589129794e-05
4  2  3.73751643119366633e-05
4  3  7.34141341582536240e-05
4  4  4.22977180180963058e-05
