numXbins 5
numYbins 5
xbin  ybin  z
0  0  1.15789251754246734e-04
0  1  4.29391925430521842e-05
0  2  7.83289892868985210e-05
0  3  1.07728089968136547e-04
0  4  1.38339635347159965e-04
1  0  4.29391925430521842e-05
1  1  -1.84600882378948955e-05
1  2  -6.77441730444702941e-05
1  3  -8.17728063913788719e-05
1  4  4.09296310297069092e-05
2  0  7.83289892868985210e-05
2  1  -6.77441730444702941e-05
2  2  -2.19485407503651784e-04
2  3  -2.69779477130131296e-04
2  4  6.43857873572960347e-05
3  0  1.07728089968136547e-04
3  1  -8.17728063913788719e-05
3  2  -2.69779477130131296e-04
3  3  -3.30686079411174534e-04
3  4  9.19898206078695552e-05
4  0  1.38339635347160209e-04
4  1  4.09296310297074310e-05
4  2  6.43857873572960347e-05
4  3  9.19898206078700702e-05
4  4  1.62152944250217609e-04
