numXbins 5
numYbins 5
xbin  ybin  z
0  0  1.45793802756812539e-04
0  1  -2.52059593760017404e-05
0  2  -1.23817095319907861e-04
0  3  -1.42707255211949285e-04
0  4  1.45936507151044894e-04
1  0  -2.52059593760016760e-05
1  1  1.02968432420932416e-05
1  2  2.42204817968804662e-05
1  3  1.52218398028252098e-06
1  4  -1.08335496432554765e-05
2  0  -1.23817095319907861e-04
2  1  2.42204817968807305e-05
2  2  1.06637803757990220e-04
2  3  1.10656089222319453e-04
2  4  -1.17697279457285039e-04
3  0  -1.42707255211949285e-04
3  1  1.52218398028252098e-06
3  2  1.10656089222318924e-04
3  3  2.31145510233259028e-04
3  4  -2.00616528223915161e-04
4  0  1.45936507151044650e-04
4  1  -1.08335496432557407e-05
4  2  -1.17697279457285297e-04
4  3  -2.00616528223915405e-04
4  4  1.83210850173409702e-04
