numXbins 5
numYbins 5
xbin  ybin  z
0  0  8.97102115027988088e-08
0  1  1.51835423370414610e-07
0  2  3.34713336326550301e-07
0  3  3.14107580087847171e-07
0  4  1.91269781176105870e-07
1  0  1.51835423370414637e-07
1  1  2.56988197070069952e-07
1  2  5.66497205334008937e-07
1  3  5.31575372036747512e-07
1  4  3.23746238081393073e-07
2  0  3.34713336326550301e-07
2  1  5.66497205334009148e-07
2  2  1.24884598624552982e-06
2  3  1.17203962550317041e-06
2  4  7.13604615764577939e-07
3  0  3.14107580087847065e-07
3  1  5.31575372036747618e-07
3  2  1.17203962550317041e-06
3  3  1.10037719293841524e-06
3  4  6.69492130982302460e-07
4  0  1.91269781176105870e-07
4  1  3.23746238081393073e-07
4  2  7.13604615764577939e-07
4  3  6.69492130982302566e-07
4  4  4.07881599372419688e-07
