numXbins 5
numYbins 5
xbin  ybin  z
0  0  7.69695847836301820e-08
0  1  1.34774163002414225e-07
0  2  2.96574257164833086e-07
0  3  2.73953112910993994e-07
0  4  1.69446256942509200e-07
1  0  1.34774163002414225e-07
1  1  2.43106826001878281e-07
1  2  5.34189729580087143e-07
1  3  4.88444176876757351e-07
1  4  3.02725542782230837e-07
2  0  2.96574257164833086e-07
2  1  5.34189729580087143e-07
2  2  1.17388110378778220e-06
2  3  1.07388369057350094e-06
2  4  6.65501086870142381e-07
3  0  2.73953112910993941e-07
3  1  4.88444176876757351e-07
3  2  1.07388369057350094e-06
3  3  9.85824801482114445e-07
3  4  6.10507281779129772e-07
4  0  1.69446256942509147e-07
4  1  3.02725542782230837e-07
4  2  6.65501086870142275e-07
4  3  6.10507281779129772e-07
4  4  3.78130477181603647e-07
