numXbins 5
numYbins 5
xbin  ybin  z
0  0  4.39222286509245041e+00
0  1  -3.67140082156053094e-01
0  2  -1.55096338328957833e-01
0  3  3.25309507127823361e-01
0  4  1.88496664402047109e+00
1  0  4.66394739753656640e-01
1  1  8.93964601166948869e-01
1  2  8.53573485441374347e-01
1  3  1.04351447405771935e+00
1  4  -1.83030781311656510e-01
2  0  -3.93299658169028940e-02
2  1  9.77995243298048211e-01
2  2  2.47576648449606873e+00
2  3  3.58218119407214974e+00
2  4  -1.65920485568687681e+00
3  0  7.68053030504726508e-01
3  1  -1.97422301953465862e+00
3  2  3.10652194455839181e+00
3  3  5.99267877079485434e+00
3  4  -2.76533312519949082e+00
4  0  4.37974321824391755e+00
4  1  1.44899087751597255e+00
4  2  -7.84653101918436069e-02
4  3  -2.84955518831755406e-02
4  4  2.67521198908297375e+00
