numXbins 6
numYbins 6
xbin  ybin  z
0  0  1.70090373008256095e-03
0  1  -1.36795055627485489e-03
0  2  -3.12342646355682476e-04
0  3  -9.34555906919558034e-05
0  4  6.31309586171671595e-05
0  5  -2.07449475190907225e-04
1  0  -1.36795055627485489e-03
1  1  1.93599580208539748e-03
1  2  3.63876037902962626e-04
1  3  1.05732892358775167e-04
1  4  -1.01406089305411601e-04
1  5  -9.05246703059718095e-05
2  0  -3.12342646355682476e-04
2  1  3.63876037902962680e-04
2  2  2.69237540326749405e-04
2  3  2.40002185819354895e-04
2  4  3.19672167013024732e-04
2  5  -6.87545813997208740e-04
3  0  -9.34555906919558034e-05
3  1  1.05732892358775181e-04
3  2  2.40002185819354895e-04
3  3  2.60292246219177175e-04
3  4  3.97719948582236297e-04
3  5  -7.87044521166625571e-04
4  0  6.31309586171671324e-05
4  1  -1.01406089305411601e-04
4  2  3.19672167013024732e-04
4  3  3.97719948582236297e-04
4  4  6.57096061325485297e-04
4  5  -1.23657489739243060e-03
5  0  -2.07449475190907198e-04
5  1  -9.05246703059718366e-05
5  2  -6.87545813997208740e-04
5  3  -7.87044521166625571e-04
5  4  -1.23657489739243038e-03
5  5  3.24296174669637264e-03
