numXbins 6
numYbins 6
xbin  ybin  z
0  0  3.40044548662170707e-06
0  1  -3.95687738976654725e-06
0  2  -1.04545156749164243e-06
0  3  -2.19919572668495458e-07
0  4  4.53832079164447429e-07
0  5  4.25717463437647615e-07
1  0  -3.95687738976654725e-06
1  1  7.34611993574000934e-06
1  2  8.42703421066380507e-07
1  3  -2.69536050859360223e-07
1  4  -1.43964115559338242e-06
1  5  1.02124098595833348e-06
2  0  -1.04545156749164243e-06
2  1  8.42703421066380295e-07
2  2  9.21531995864799891e-07
2  3  7.82092755238557908e-07
2  4  1.04724433998567055e-06
2  5  -1.67960108491182958e-06
3  0  -2.19919572668495563e-07
3  1  -2.69536050859360223e-07
3  2  7.82092755238557908e-07
3  3  8.67895230367503393e-07
3  4  1.39062250035511365e-06
3  5  -1.87884577376711289e-06
4  0  4.53832079164447429e-07
4  1  -1.43964115559338242e-06
4  2  1.04724433998567055e-06
4  3  1.39062250035511365e-06
4  4  2.42435891288981156e-06
4  5  -3.00982772607723920e-06
5  0  4.25717463437647615e-07
5  1  1.02124098595833369e-06
5  2  -1.67960108491182958e-06
5  3  -1.87884577376711289e-06
5  4  -3.00982772607723920e-06
5  5  4.40154214130974851e-06
