numXbins 6
numYbins 6
xbin  ybin  z
0  0  1.87055688074454825e-04
0  1  -1.27679926569643123e-04
0  2  -3.33259854099008236e-05
0  3  -1.50840100018503898e-05
0  4  -5.71804319361953813e-06
0  5  -1.33093985892720423e-05
1  0  -1.27679926569643150e-04
1  1  1.40645902195914255e-04
1  2  3.12821537515325387e-05
1  3  1.31831250568062876e-05
1  4  1.29041650532523758e-06
1  5  -1.00213505344809849e-05
2  0  -3.33259854099008236e-05
2  1  3.12821537515325387e-05
2  2  2.16874613833945510e-05
2  3  1.90774671901229431e-05
2  4  2.51541445914846629e-05
2  5  -5.04835732914929227e-05
3  0  -1.50840100018503898e-05
3  1  1.31831250568062893e-05
3  2  1.90774671901229465e-05
3  3  1.98946421188000359e-05
3  4  2.97003294320873089e-05
3  5  -5.70632742981029274e-05
4  0  -5.71804319361953813e-06
4  1  1.29041650532523991e-06
4  2  2.51541445914846629e-05
4  3  2.97003294320873089e-05
4  4  4.78685697958772255e-05
4  5  -8.91219016342470705e-05
5  0  -1.33093985892720457e-05
5  1  -1.00213505344809866e-05
5  2  -5.04835732914929295e-05
5  3  -5.70632742981029274e-05
5  4  -8.91219016342470705e-05
5  5  2.35209559163086443e-04
