numXbins 6
numYbins 6
xbin  ybin  z
0  0  2.63909837172428383e-04
0  1  -2.99198612440629980e-04
0  2  -9.82633891159980129e-05
0  3  -8.77233500129342313e-05
0  4  -7.62081773326210940e-05
0  5  4.34502972500284805e-04
1  0  -2.99198612440629925e-04
1  1  3.39206035839844321e-04
1  2  1.11402704773036929e-04
1  3  9.94533014901034291e-05
1  4  8.63983743798536920e-05
1  5  -4.92602655006284099e-04
2  0  -9.82633891159979993e-05
2  1  1.11402704773036929e-04
2  2  3.65870925616667398e-05
2  3  3.26626463387489201e-05
2  4  2.83751218343697161e-05
2  5  -1.61781520220322496e-04
3  0  -8.77233500129341771e-05
3  1  9.94533014901033749e-05
3  2  3.26626463387489201e-05
3  3  2.91591485180747507e-05
3  4  2.53315173304033067e-05
3  5  -1.44428327290426959e-04
4  0  -7.62081773326210940e-05
4  1  8.63983743798537327e-05
4  2  2.83751218343697229e-05
4  3  2.53315173304032966e-05
4  4  2.20063274434356191e-05
4  5  -1.25469667726778073e-04
5  0  4.34502972500284696e-04
5  1  -4.92602655006283991e-04
5  2  -1.61781520220322469e-04
5  3  -1.44428327290427067e-04
5  4  -1.25469667726778127e-04
5  5  7.15368684753623784e-04
