numXbins 6
numYbins 6
xbin  ybin  z
0  0  1.12906385356537526e-04
0  1  -3.31461825952396595e-05
0  2  2.67010394554323344e-06
0  3  8.36556322592958807e-06
0  4  1.79846117845968856e-05
0  5  -6.49488682376919360e-05
1  0  -3.31461825952396663e-05
1  1  6.03400132934693611e-05
1  2  2.61336686677614353e-05
1  3  1.80831554201360703e-05
1  4  2.13145510373135362e-05
1  5  -1.20991433857395289e-04
2  0  2.67010394554323344e-06
2  1  2.61336686677614353e-05
2  2  1.66114196528258127e-05
2  3  1.38357632017760325e-05
2  4  1.90703980911854455e-05
2  5  -7.32929021830714972e-05
3  0  8.36556322592958807e-06
3  1  1.80831554201360703e-05
3  2  1.38357632017760325e-05
3  3  1.24411968569202929e-05
3  4  1.79919484669611095e-05
3  5  -5.73957888458658146e-05
4  0  1.79846117845968890e-05
4  1  2.13145510373135260e-05
4  2  1.90703980911854421e-05
4  3  1.79919484669611129e-05
4  4  2.68725249977284430e-05
4  5  -7.78254151371659842e-05
5  0  -6.49488682376918953e-05
5  1  -1.20991433857395289e-04
5  2  -7.32929021830714972e-05
5  3  -5.73957888458658010e-05
5  4  -7.78254151371659842e-05
5  5  5.62547654450645308e-04
