numXbins 6
numYbins 6
xbin  ybin  z
0  0  -1.46769079761411973e-03
0  1  1.10091341945203346e-03
0  2  1.25026346262716265e-03
0  3  1.35210435573474203e-03
0  4  2.22237724542811597e-03
0  5  -5.13337654860889035e-04
1  0  1.10091341945203411e-03
1  1  -9.54685176806386600e-05
1  2  -6.20674387950310644e-04
1  3  -7.84727500513164047e-04
1  4  -1.39083014182210638e-03
1  5  1.61450134080734693e-03
2  0  1.25026346262716265e-03
2  1  -6.20674387950310318e-04
2  2  -9.27323904097537908e-04
2  3  -1.05214559135470890e-03
2  4  -1.77321955981521429e-03
2  5  9.71183297186069185e-04
3  0  1.35210435573474225e-03
3  1  -7.84727500513164047e-04
3  2  -1.05214559135470890e-03
3  3  -1.17351158854232113e-03
3  4  -1.96057657774757017e-03
3  5  8.59230153222673696e-04
4  0  2.22237724542811727e-03
4  1  -1.39083014182210659e-03
4  2  -1.77321955981521559e-03
4  3  -1.96057657774757104e-03
4  4  -3.26068853670650463e-03
4  5  1.24221169425901379e-03
5  0  -5.13337654860888709e-04
5  1  1.61450134080734693e-03
5  2  9.71183297186068752e-04
5  3  8.59230153222673696e-04
5  4  1.24221169425901444e-03
5  5  1.89013623533474491e-03
