numXbins 6
numYbins 6
xbin  ybin  z
0  0  1.70694889693904042e-04
0  1  -1.02142945411073333e-04
0  2  -2.64361369487621067e-05
0  3  -1.35850496034410085e-05
0  4  -8.92639210954674014e-06
0  5  5.33076974228407409e-05
1  0  -1.02142945411073333e-04
1  1  6.12603966846193767e-05
1  2  1.58498438807774723e-05
1  3  8.09519964254122037e-06
1  4  5.24024582585924201e-06
1  5  -3.34304726842188978e-05
2  0  -2.64361369487621067e-05
2  1  1.58498438807774723e-05
2  2  4.10101506322911850e-06
2  3  2.09645429178259328e-06
2  4  1.36010697887469431e-06
2  5  -8.59405249002934105e-06
3  0  -1.35850496034410136e-05
3  1  8.09519964254121868e-06
3  2  2.09645429178259328e-06
3  3  1.08954330056110327e-06
3  4  7.35283729927274527e-07
3  5  -3.86659752211198080e-06
4  0  -8.92639210954674014e-06
4  1  5.24024582585924031e-06
4  2  1.36010697887469410e-06
4  3  7.35283729927275056e-07
4  4  5.40791548054354439e-07
4  5  -1.66869794955521493e-06
5  0  5.33076974228407409e-05
5  1  -3.34304726842188978e-05
5  2  -8.59405249002934444e-06
5  3  -3.86659752211198249e-06
5  4  -1.66869794955521345e-06
5  5  3.35709904981813643e-05
