numXbins 6
numYbins 6
xbin  ybin  z
0  0  1.63248836451845782e-04
0  1  9.98861385554925175e-05
0  2  -1.37181415025472604e-05
0  3  -3.36028988376604101e-05
0  4  -6.79996533860869045e-05
0  5  9.80138828895461383e-05
1  0  9.98861385554923413e-05
1  1  5.74548603662713596e-04
1  2  1.02434216365976814e-04
1  3  1.35011562092986853e-05
1  4  -6.14602217953101024e-05
1  5  3.07437161016189617e-04
2  0  -1.37181415025472841e-05
2  1  1.02434216365976773e-04
2  2  6.62493003803782404e-05
2  3  5.56427726563062526e-05
2  4  7.42988382869707762e-05
2  5  3.32789421303171293e-05
3  0  -3.36028988376604846e-05
3  1  1.35011562092986785e-05
3  2  5.56427726563062526e-05
3  3  5.96784237560947080e-05
3  4  9.39057430835472527e-05
3  5  -1.35471535588375893e-05
4  0  -6.79996533860868503e-05
4  1  -6.14602217953102379e-05
4  2  7.42988382869707762e-05
4  3  9.39057430835472663e-05
4  4  1.60094701001187547e-04
4  5  -6.10503375982069242e-05
5  0  9.80138828895461519e-05
5  1  3.07437161016189617e-04
5  2  3.32789421303171564e-05
5  3  -1.35471535588375859e-05
5  4  -6.10503375982068564e-05
5  5  4.06251049767940634e-04
