numXbins 6
numYbins 6
xbin  ybin  z
0  0  2.34762100245757390e-06
0  1  -2.96305503319420548e-06
0  2  -4.85349897881184772e-06
0  3  -1.13690083466560595e-05
0  4  9.95509430927832506e-06
0  5  -1.45969282180695190e-05
1  0  -2.96305503319424106e-06
1  1  3.73982645433266181e-06
1  2  6.12585445551770372e-06
1  3  1.43494189942593262e-05
1  4  -1.25648442692205156e-05
1  5  1.84235451891293489e-05
2  0  -4.85349897881185619e-06
2  1  6.12585445551771049e-06
2  2  1.00341802670312344e-05
2  3  2.35044201525012648e-05
2  4  -2.05812778184717546e-05
2  5  3.01778592566801132e-05
3  0  -1.13690083466560392e-05
3  1  1.43494189942593143e-05
3  2  2.35044201525012377e-05
3  3  5.50575883632953449e-05
3  4  -4.82103159647378815e-05
3  5  7.06896890822870537e-05
4  0  9.95509430927833692e-06
4  1  -1.25648442692204326e-05
4  2  -2.05812778184717207e-05
4  3  -4.82103159647378341e-05
4  4  4.22146090032764982e-05
4  5  -6.18983204207704382e-05
5  0  -1.45969282180694970e-05
5  1  1.84235451891293388e-05
5  2  3.01778592566801505e-05
5  3  7.06896890822870130e-05
5  4  -6.18983204207703433e-05
5  5  9.07600984913776971e-05
