numXbins 6
numYbins 6
xbin  ybin  z
0  0  9.76940406965567238e-05
0  1  5.21708687979762867e-05
0  2  4.67698721881975183e-05
0  3  4.89257005702995295e-05
0  4  9.10172145055755872e-05
0  5  -1.05764142344284664e-05
1  0  5.21708687979763070e-05
1  1  2.78604460592404146e-05
1  2  2.49761894198585616e-05
1  3  2.61274514504970508e-05
1  4  4.86052897645680661e-05
1  5  -5.64804890291390589e-06
2  0  4.67698721881974912e-05
2  1  2.49761894198585480e-05
2  2  2.23905258591420492e-05
2  3  2.34226033243763594e-05
2  4  4.35734202311641614e-05
2  5  -5.06333383722026849e-06
3  0  4.89257005702994753e-05
3  1  2.61274514504970339e-05
3  2  2.34226033243763526e-05
3  3  2.45022537631507008e-05
3  4  4.55819101338435847e-05
3  5  -5.29672508426951697e-06
4  0  9.10172145055754652e-05
4  1  4.86052897645680322e-05
4  2  4.35734202311641682e-05
4  3  4.55819101338435779e-05
4  4  8.47967110100905587e-05
4  5  -9.85357710881054230e-06
5  0  -1.05764142344283444e-05
5  1  -5.64804890291385761e-06
5  2  -5.06333383722027272e-06
5  3  -5.29672508426953221e-06
5  4  -9.85357710881056601e-06
5  5  1.14500881794489506e-06
