numXbins 6
numYbins 6
xbin  ybin  z
0  0  2.60611499801894622e-03
0  1  9.18756694888885864e-04
0  2  9.20515600194906692e-04
0  3  1.61149674758669895e-03
0  4  2.08164642747647125e-03
0  5  -5.61647755894699777e-04
1  0  9.18756694888885864e-04
1  1  3.23897397100591199e-04
1  2  3.24517479494043019e-04
1  3  5.68115154842519020e-04
1  4  7.33861166176226899e-04
1  5  -1.98002634684128650e-04
2  0  9.20515600194906692e-04
2  1  3.24517479494043019e-04
2  2  3.25138748998530938e-04
2  3  5.69202777676553568e-04
2  4  7.35266099937527157e-04
2  5  -1.98381699007348745e-04
3  0  1.61149674758669895e-03
3  1  5.68115154842519020e-04
3  2  5.69202777676553568e-04
3  3  9.96472438651623254e-04
3  4  1.28719049238187823e-03
3  5  -3.47296083481231290e-04
4  0  2.08164642747647125e-03
4  1  7.33861166176226899e-04
4  2  7.35266099937527157e-04
4  3  1.28719049238187823e-03
4  4  1.66272472715881772e-03
4  5  -4.48618746850049490e-04
5  0  -5.61647755894699777e-04
5  1  -1.98002634684128650e-04
5  2  -1.98381699007348745e-04
5  3  -3.47296083481231290e-04
5  4  -4.48618746850049490e-04
5  5  1.21041551098605412e-04
