numXbins 6
numYbins 6
xbin  ybin  z
0  0  1.52933683392585678e-06
0  1  1.17007311625914216e-07
0  2  2.03884564962455606e-09
0  3  1.06911806970087339e-08
0  4  2.39621638808402289e-06
0  5  -2.05939808012287055e-07
1  0  1.17007311625914083e-07
1  1  2.12206029585800039e-08
1  2  1.54677419563107557e-08
1  3  2.58151069757278615e-08
1  4  1.32729818757259657e-07
1  5  -5.04285345535749265e-08
2  0  2.03884564962448244e-09
2  1  1.54677419563107557e-08
2  2  1.91125443742764540e-08
2  3  3.12119229111400305e-08
2  4  -5.99582385231597253e-08
2  5  -4.35474017158845314e-08
3  0  1.06911806970085668e-08
3  1  2.58151069757278582e-08
3  2  3.12119229111400173e-08
3  3  5.10063694472001390e-08
3  4  -8.63484994846528338e-08
3  5  -7.20845892394894384e-08
4  0  2.39621638808402331e-06
4  1  1.32729818757259816e-07
4  2  -5.99582385231597253e-08
4  3  -8.63484994846528735e-08
4  4  3.96317513361242083e-06
4  5  -1.79668430031886201e-07
5  0  -2.05939808012286658e-07
5  1  -5.04285345535749265e-08
5  2  -4.35474017158845248e-08
5  3  -7.20845892394894648e-08
5  4  -1.79668430031886148e-07
5  5  1.25720077467798037e-07
