numXbins 6
numYbins 6
xbin  ybin  z
0  0  5.37578460744320619e-07
0  1  -1.30969833211070701e-07
0  2  -2.21204014661733132e-07
0  3  -3.86481012872727396e-07
0  4  1.44382127396546301e-06
0  5  2.02579791151950975e-06
1  0  -1.30969833211070331e-07
1  1  3.83374674896996786e-08
1  2  6.29376965451624485e-08
1  3  1.13046213217951818e-07
1  4  -3.58800980358303478e-07
1  5  -7.28116864539059540e-07
2  0  -2.21204014661732682e-07
2  1  6.29376965451624220e-08
2  2  1.03748852942771100e-07
2  3  1.85605063863696299e-07
2  4  -6.04017406296840677e-07
2  5  -1.16361663046412254e-06
3  0  -3.86481012872727343e-07
3  1  1.13046213217951633e-07
3  2  1.85605063863696087e-07
3  3  3.33341833680898364e-07
3  4  -1.05869913915162596e-06
3  5  -2.14553101860568161e-06
4  0  1.44382127396546280e-06
4  1  -3.58800980358303796e-07
4  2  -6.04017406296841206e-07
4  3  -1.05869913915162639e-06
4  4  3.88551363726665500e-06
4  5  5.69785521955284526e-06
5  0  2.02579791151951018e-06
5  1  -7.28116864539059011e-07
5  2  -1.16361663046412190e-06
5  3  -2.14553101860568119e-06
5  4  5.69785521955284187e-06
5  5  1.61922680263338307e-05
