numXbins 6
numYbins 6
xbin  ybin  z
0  0  1.98999789603211208e-04
0  1  6.33213843926508466e-05
0  2  6.05326846605778006e-05
0  3  1.02885877754310345e-04
0  4  1.87597763557393081e-04
0  5  5.40943636422981048e-05
1  0  6.33213843926508195e-05
1  1  2.22047401398271287e-05
1  2  2.17565917770286555e-05
1  3  3.66754425863528448e-05
1  4  5.47514274120367643e-05
1  5  1.38058865434867943e-05
2  0  6.05326846605778006e-05
2  1  2.17565917770286622e-05
2  2  2.14826167988318635e-05
2  3  3.62797691004157420e-05
2  4  5.09015211397029105e-05
2  5  1.19736057803048288e-05
3  0  1.02885877754310237e-04
3  1  3.66754425863528516e-05
3  2  3.62797691004157217e-05
3  3  6.17598125071647556e-05
3  4  8.69567033669471905e-05
3  5  1.96190970596890007e-05
4  0  1.87597763557393135e-04
4  1  5.47514274120367779e-05
4  2  5.09015211397028834e-05
4  3  8.69567033669472583e-05
4  4  1.97719407400300705e-04
4  5  5.66405459337003121e-05
5  0  5.40943636422981184e-05
5  1  1.38058865434867791e-05
5  2  1.19736057803048271e-05
5  3  1.96190970596889634e-05
5  4  5.66405459337003596e-05
5  5  1.75574674165627820e-04
