numXbins 5
numYbins 5
xbin  ybin  z
0  0  7.55485890358613688e-02
0  1  -7.44002755644032732e-01
0  2  -1.09018905379343778e-01
0  3  6.48365264059975743e-02
0  4  5.97721421741880476e-01
1  0  -6.19286845623037152e-02
1  1  4.98016900954098674e-01
1  2  -9.19971292823902331e-02
1  3  1.39963147506932728e-01
1  4  -8.53480449150083587e-02
2  0  -4.14428649066849175e-02
2  1  -1.46012653593061259e-01
2  2  4.71615752103389241e-01
2  3  1.11227807552495506e-01
2  4  8.53109602758195251e-02
3  0  -2.51630873332828742e-02
3  1  -1.60659281051266589e-01
3  2  2.06618003576295450e-02
3  3  4.46303159544186201e-01
3  4  2.16231207508826628e-01
4  0  -2.31862621677123570e-02
4  1  -2.00644028036549571e-01
4  2  -1.29738776988233440e-01
4  3  3.75015872967196628e-01
4  4  5.64424921634781640e-01
