numXbins 5
numYbins 5
xbin  ybin  z
0  0  4.02290777358721527e-04
0  1  -1.64165614691050309e-04
0  2  7.08604246613896534e-05
0  3  1.21904832204080567e-04
0  4  2.48944479264564308e-04
1  0  -1.64165614691050309e-04
1  1  1.38274889767139712e-04
1  2  -7.49249690300079720e-05
1  3  5.23836446410999438e-06
1  4  -1.06558622676676902e-05
2  0  7.08604246613896534e-05
2  1  -7.49249690300079991e-05
2  2  1.21593305039914483e-04
2  3  2.66991723320688249e-05
2  4  1.22640515591196004e-05
3  0  1.21904832204080567e-04
3  1  5.23836446410999353e-06
3  2  2.66991723320688249e-05
3  3  1.45375597564727704e-04
3  4  1.70076022161495881e-04
4  0  2.48944479264564308e-04
4  1  -1.06558622676676953e-05
4  2  1.22640515591196004e-05
4  3  1.70076022161495881e-04
4  4  2.81918980490257379e-04
