numXbins 5
numYbins 5
xbin  ybin  z
0  0  4.10354041141902966e-06
0  1  -3.36035292296365599e-06
0  2  -4.00408615505050877e-06
0  3  -1.51354560000985462e-06
0  4  -1.59895610774724376e-06
1  0  -3.36035292296365599e-06
1  1  6.65439363075005123e-06
1  2  -1.08814345190516098e-06
1  3  5.18829538973148924e-06
1  4  6.32138228762197880e-06
2  0  -4.00408615505050877e-06
2  1  -1.08814345190516140e-06
2  2  1.35047678355199124e-05
2  3  1.75778968890617385e-06
2  4  -1.69867267536602265e-06
3  0  -1.51354560000985462e-06
3  1  5.18829538973149008e-06
3  2  1.75778968890617385e-06
3  3  9.24238963076668053e-06
3  4  8.00510980629501143e-06
4  0  -1.59895610774724334e-06
4  1  6.32138228762197880e-06
4  2  -1.69867267536602265e-06
4  3  8.00510980629501143e-06
4  4  8.23162882603652094e-06
