numXbins 5
numYbins 5
xbin  ybin  z
0  0  3.45907212081262118e-05
0  1  -1.44476419435711041e-05
0  2  5.98368950444609162e-06
0  3  1.01377852124521147e-05
0  4  2.08652973775065419e-05
1  0  -1.44476419435711007e-05
1  1  1.18695164326594379e-05
1  2  -6.23091054634538939e-06
1  3  -6.84063282141664136e-08
1  4  -1.32383222404002711e-06
2  0  5.98368950444609078e-06
2  1  -6.23091054634538939e-06
2  2  1.01218958573948149e-05
2  3  2.23077008776159348e-06
2  4  1.13683597114965421e-06
3  0  1.01377852124521147e-05
3  1  -6.84063282141667842e-08
3  2  2.23077008776159348e-06
3  3  1.09020383447160234e-05
3  4  1.32661064032372526e-05
4  0  2.08652973775065385e-05
4  1  -1.32383222404002732e-06
4  2  1.13683597114965421e-06
4  3  1.32661064032372526e-05
4  4  2.29123115351309039e-05
