numXbins 5
numYbins 5
xbin  ybin  z
0  0  3.20217936592943962e-05
0  1  -1.54118196937335015e-05
0  2  -1.94199943075607911e-05
0  3  -7.98521415987110861e-06
0  4  6.57806881061615115e-06
1  0  -1.54118196937335015e-05
1  1  7.41757906503809839e-06
1  2  9.34667976147508000e-06
1  3  3.84321634687883364e-06
1  4  -3.16596913717112523e-06
2  0  -1.94199943075607911e-05
2  1  9.34667976147508170e-06
2  2  1.17774845131521461e-05
2  3  4.84272727440864243e-06
2  4  -3.98934738684852523e-06
3  0  -7.98521415987110522e-06
3  1  3.84321634687883279e-06
3  2  4.84272727440864328e-06
3  3  1.99125776205539107e-06
3  4  -1.64036058598149081e-06
4  0  6.57806881061615369e-06
4  1  -3.16596913717112608e-06
4  2  -3.98934738684852438e-06
4  3  -1.64036058598149123e-06
4  4  1.35129811083026255e-06
