numXbins 5
numYbins 5
xbin  ybin  z
0  0  1.98596430483913308e-05
0  1  -4.76070966847988797e-05
0  2  -1.34782832704859410e-05
0  3  -1.25101808545016327e-05
0  4  -4.48737248233714844e-05
1  0  -4.76070966847987712e-05
1  1  1.14122678299565932e-04
1  2  3.23098422886862927e-05
1  3  2.99891286078688312e-05
1  4  1.07570299781714455e-04
2  0  -1.34782832704859681e-05
2  1  3.23098422886862927e-05
2  2  9.14740106238597482e-06
2  3  8.49037220412883077e-06
2  4  3.04547656318640674e-05
3  0  -1.25101808545016327e-05
3  1  2.99891286078688007e-05
3  2  8.49037220412884263e-06
3  3  7.88053564865131827e-06
3  4  2.82672962342587034e-05
4  0  -4.48737248233715386e-05
4  1  1.07570299781714387e-04
4  2  3.04547656318640674e-05
4  3  2.82672962342587034e-05
4  4  1.01394127508589420e-04
