numXbins 5
numYbins 5
xbin  ybin  z
0  0  2.18395536874250919e-04
0  1  -4.16246814479927742e-05
0  2  -5.81742533067505300e-05
0  3  9.03726585276076695e-05
0  4  1.69333894058173740e-04
1  0  -4.16246814479929639e-05
1  1  6.32648234175631118e-06
1  2  -5.79769344317596223e-06
1  3  -2.35540370265673710e-05
1  4  -3.99018209455679032e-05
2  0  -5.81742533067509094e-05
2  1  -5.79769344317586821e-06
2  2  -1.61935435135624622e-04
2  3  -9.05846605725729991e-05
2  4  -1.25260416586740883e-04
3  0  9.03726585276072900e-05
3  1  -2.35540370265672795e-05
3  2  -9.05846605725729991e-05
3  3  1.24637327760901515e-05
3  4  4.00239703330422414e-05
4  0  1.69333894058172250e-04
4  1  -3.99018209455675305e-05
4  2  -1.25260416586741262e-04
4  3  4.00239703330414892e-05
4  4  9.50837639646294838e-05
