numXbins 5
numYbins 5
xbin  ybin  z
0  0  1.11080763168649164e-03
0  1  2.27754848168835907e-04
0  2  6.99397880029086210e-04
0  3  1.22374362690190128e-03
0  4  1.81319678207212320e-03
1  0  2.27754848168835907e-04
1  1  4.66977984168636396e-05
1  2  1.43401299587566890e-04
1  3  2.50910721165522016e-04
1  4  3.71769463965666434e-04
2  0  6.99397880029086210e-04
2  1  1.43401299587566890e-04
2  2  4.40361931837390515e-04
2  3  7.70505777903995122e-04
2  4  1.14164320561196747e-03
3  0  1.22374362690190128e-03
3  1  2.50910721165522016e-04
3  2  7.70505777903995122e-04
3  3  1.34816184338719044e-03
3  4  1.99754479811320180e-03
4  0  1.81319678207212320e-03
4  1  3.71769463965666434e-04
4  2  1.14164320561196747e-03
4  3  1.99754479811320180e-03
4  4  2.95972270691474866e-03
