numXbins 5
numYbins 5
xbin  ybin  z
0  0  4.58969183779776295e-07
0  1  -4.36654762604689567e-07
0  2  -2.00465268853778885e-07
0  3  -1.58866024655560192e-07
0  4  -1.79709822800791912e-07
1  0  -4.36654762604689514e-07
1  1  4.17580752883113149e-07
1  2  1.94485910788090204e-07
1  3  1.54468097726147514e-07
1  4  1.75819261574226546e-07
2  0  -2.00465268853778858e-07
2  1  1.94485910788090204e-07
2  2  9.41409378424871122e-08
2  3  7.52007155496954758e-08
2  4  8.69623984492095729e-08
3  0  -1.58866024655560219e-07
3  1  1.54468097726147514e-07
3  2  7.52007155496954626e-08
3  3  6.01211436930577914e-08
3  4  6.96824430600670177e-08
4  0  -1.79709822800791965e-07
4  1  1.75819261574226599e-07
4  2  8.69623984492095464e-08
4  3  6.96824430600670177e-08
4  4  8.12632787614686903e-08
