numXbins 5
numYbins 5
xbin  ybin  z
0  0  2.40171064242730904e-07
0  1  -2.32638546599858242e-07
0  2  -1.39518432324623892e-07
0  3  -9.33358961965846369e-08
0  4  -1.28341058871845371e-07
1  0  -2.32638546599858242e-07
1  1  2.25891073344793252e-07
1  2  1.35319631745803810e-07
1  3  9.16201770798492957e-08
1  4  1.25327332117116474e-07
2  0  -1.39518432324623892e-07
2  1  1.35319631745803810e-07
2  2  8.11050798695548446e-08
2  3  5.46106307075803210e-08
2  4  7.48810514869929047e-08
3  0  -9.33358961965846369e-08
3  1  9.16201770798493221e-08
3  2  5.46106307075803210e-08
3  3  3.89472553395778807e-08
3  4  5.21092116986262084e-08
4  0  -1.28341058871845371e-07
4  1  1.25327332117116501e-07
4  2  7.48810514869929047e-08
4  3  5.21092116986262151e-08
4  4  7.04461893532211084e-08
