numXbins 5
numYbins 5
xbin  ybin  z
0  0  1.77334976143582272e-04
0  1  -1.61809966157516603e-05
0  2  8.76093936872884924e-05
0  3  1.24678399356900686e-04
0  4  2.04257663280499948e-04
1  0  -1.61809966157516637e-05
1  1  1.45626380878253268e-05
1  2  6.36598584938498106e-06
1  3  7.57155588323926967e-06
1  4  4.76613874546448262e-06
2  0  8.76093936872884653e-05
2  1  6.36598584938499885e-06
2  2  6.65416059311073170e-05
2  3  8.56071120624927578e-05
2  4  1.28806110527587001e-04
3  0  1.24678399356900686e-04
3  1  7.57155588323925527e-06
3  2  8.56071120624927713e-05
3  3  1.17835803396355735e-04
3  4  1.78757005626308375e-04
4  0  2.04257663280499893e-04
4  1  4.76613874546448686e-06
4  2  1.28806110527587001e-04
4  3  1.78757005626308348e-04
4  4  2.77877914730751915e-04
